<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
GAZP,60,20101201,100000,174.70000,175.60000,174.55000,175.29000
GAZP,60,20101201,110000,175.29000,176.60000,175.00000,176.09000
GAZP,60,20101201,120000,176.08000,176.88000,175.65000,176.73000
GAZP,60,20101201,130000,176.73000,178.11000,176.68000,177.72000
GAZP,60,20101201,140000,177.71000,178.30000,177.60000,178.00000
GAZP,60,20101201,150000,177.99000,179.46000,177.75000,179.40000
GAZP,60,20101201,160000,179.40000,180.95000,178.82000,180.58000
GAZP,60,20101201,170000,180.58000,181.92000,180.25000,181.80000
GAZP,60,20101201,180000,181.80000,183.00000,181.37000,182.49000
GAZP,60,20101202,100000,184.05000,185.00000,183.55000,183.81000
GAZP,60,20101202,110000,183.80000,185.20000,182.72000,184.84000
GAZP,60,20101202,120000,184.84000,188.29000,184.61000,187.78000
GAZP,60,20101202,130000,187.80000,188.00000,186.61000,187.01000
GAZP,60,20101202,140000,187.03000,188.15000,186.28000,188.02000
GAZP,60,20101202,150000,188.00000,188.00000,186.91000,187.17000
GAZP,60,20101202,160000,187.18000,187.37000,185.51000,185.68000
GAZP,60,20101202,170000,185.66000,187.90000,185.42000,187.40000
GAZP,60,20101202,180000,187.40000,189.74000,187.39000,189.20000
GAZP,60,20101203,100000,189.20000,189.62000,187.85000,188.67000
GAZP,60,20101203,110000,188.66000,191.17000,188.19000,190.77000
GAZP,60,20101203,120000,190.80000,193.30000,190.71000,191.94000
GAZP,60,20101203,130000,191.94000,192.31000,190.92000,191.62000
GAZP,60,20101203,140000,191.62000,192.07000,190.87000,191.61000
GAZP,60,20101203,150000,191.60000,192.16000,190.30000,192.12000
GAZP,60,20101203,160000,192.07000,192.59000,189.91000,190.93000
GAZP,60,20101203,170000,190.93000,191.77000,189.54000,191.05000
GAZP,60,20101203,180000,191.02000,191.53000,190.32000,190.70000
GAZP,60,20101206,100000,191.11000,194.12000,191.11000,193.84000
GAZP,60,20101206,110000,193.81000,194.27000,192.74000,193.60000
GAZP,60,20101206,120000,193.57000,194.07000,192.20000,192.88000
GAZP,60,20101206,130000,192.90000,193.09000,191.27000,191.50000
GAZP,60,20101206,140000,191.52000,192.79000,191.50000,192.74000
GAZP,60,20101206,150000,192.73000,192.80000,192.15000,192.39000
GAZP,60,20101206,160000,192.39000,192.98000,192.10000,192.70000
GAZP,60,20101206,170000,192.66000,193.75000,192.50000,193.66000
GAZP,60,20101206,180000,193.64000,194.55000,193.00000,194.30000
GAZP,60,20101207,100000,194.99000,195.45000,193.99000,194.44000
GAZP,60,20101207,110000,194.48000,196.14000,194.40000,195.91000
GAZP,60,20101207,120000,195.94000,196.30000,195.12000,195.70000
GAZP,60,20101207,130000,195.71000,195.95000,194.20000,194.79000
GAZP,60,20101207,140000,194.79000,195.40000,194.31000,194.36000
GAZP,60,20101207,150000,194.32000,194.44000,193.15000,193.15000
GAZP,60,20101207,160000,193.15000,193.85000,192.26000,193.56000
GAZP,60,20101207,170000,193.60000,193.94000,192.30000,192.90000
GAZP,60,20101207,180000,192.89000,193.28000,191.75000,192.95000
GAZP,60,20101208,100000,191.35000,191.75000,190.74000,191.50000
GAZP,60,20101208,110000,191.51000,193.60000,191.50000,192.84000
GAZP,60,20101208,120000,192.84000,193.00000,191.79000,192.61000
GAZP,60,20101208,130000,192.61000,192.69000,191.43000,191.70000
GAZP,60,20101208,140000,191.75000,192.05000,189.71000,190.95000
GAZP,60,20101208,150000,190.99000,192.36000,190.75000,191.08000
GAZP,60,20101208,160000,191.15000,192.52000,191.12000,191.52000
GAZP,60,20101208,170000,191.52000,192.04000,191.23000,191.50000
GAZP,60,20101208,180000,191.50000,191.53000,190.00000,190.90000
GAZP,60,20101209,100000,192.85000,193.35000,192.20000,193.33000
GAZP,60,20101209,110000,193.28000,193.49000,191.85000,191.90000
GAZP,60,20101209,120000,191.86000,192.49000,191.10000,192.49000
GAZP,60,20101209,130000,192.49000,192.72000,191.27000,191.75000
GAZP,60,20101209,140000,191.73000,191.95000,191.32000,191.73000
GAZP,60,20101209,150000,191.78000,192.70000,191.54000,192.56000
GAZP,60,20101209,160000,192.59000,193.20000,192.21000,192.99000
GAZP,60,20101209,170000,192.99000,193.29000,192.28000,192.84000
GAZP,60,20101209,180000,192.82000,192.90000,192.04000,192.83000
GAZP,60,20101210,100000,192.83000,193.15000,191.46000,191.70000
GAZP,60,20101210,110000,191.70000,192.26000,191.40000,192.07000
GAZP,60,20101210,120000,192.07000,192.22000,191.71000,192.10000
GAZP,60,20101210,130000,192.10000,194.15000,191.31000,193.60000
GAZP,60,20101210,140000,193.52000,193.76000,193.00000,193.36000
GAZP,60,20101210,150000,193.36000,193.70000,192.55000,192.62000
GAZP,60,20101210,160000,192.70000,193.46000,192.60000,192.76000
GAZP,60,20101210,170000,192.75000,192.90000,192.07000,192.34000
GAZP,60,20101210,180000,192.34000,192.89000,192.14000,192.87000
GAZP,60,20101213,100000,194.10000,194.88000,193.80000,194.44000
GAZP,60,20101213,110000,194.44000,194.97000,194.00000,194.90000
GAZP,60,20101213,120000,194.92000,195.77000,194.78000,195.64000
GAZP,60,20101213,130000,195.63000,195.64000,195.00000,195.45000
GAZP,60,20101213,140000,195.45000,195.80000,195.25000,195.76000
GAZP,60,20101213,150000,195.80000,196.50000,195.76000,195.85000
GAZP,60,20101213,160000,195.81000,195.95000,195.25000,195.77000
GAZP,60,20101213,170000,195.77000,196.10000,195.18000,195.36000
GAZP,60,20101213,180000,195.45000,195.95000,195.15000,195.80000
GAZP,60,20101214,100000,195.04000,195.18000,194.60000,194.92000
GAZP,60,20101214,110000,195.01000,195.29000,194.64000,195.11000
GAZP,60,20101214,120000,195.11000,195.35000,194.73000,194.80000
GAZP,60,20101214,130000,194.81000,195.20000,194.75000,195.00000
GAZP,60,20101214,140000,195.00000,195.14000,194.09000,194.45000
GAZP,60,20101214,150000,194.45000,194.85000,194.40000,194.69000
GAZP,60,20101214,160000,194.69000,195.60000,194.31000,195.50000
GAZP,60,20101214,170000,195.54000,196.69000,195.50000,196.68000
GAZP,60,20101214,180000,196.67000,197.75000,196.58000,197.20000
GAZP,60,20101215,100000,196.56000,196.87000,195.58000,196.38000
GAZP,60,20101215,110000,196.36000,197.16000,195.58000,195.93000
GAZP,60,20101215,120000,195.88000,196.95000,195.70000,196.68000
GAZP,60,20101215,130000,196.65000,196.85000,196.12000,196.34000
GAZP,60,20101215,140000,196.37000,196.92000,196.27000,196.90000
GAZP,60,20101215,150000,196.90000,198.15000,196.81000,197.27000
GAZP,60,20101215,160000,197.26000,197.49000,195.88000,196.10000
GAZP,60,20101215,170000,196.10000,196.23000,193.50000,195.30000
GAZP,60,20101215,180000,195.30000,195.96000,194.60000,195.56000
GAZP,60,20101216,100000,194.66000,195.26000,194.30000,194.82000
GAZP,60,20101216,110000,194.82000,194.95000,193.60000,194.72000
GAZP,60,20101216,120000,194.73000,194.95000,193.30000,193.48000
GAZP,60,20101216,130000,193.45000,193.60000,192.89000,193.48000
GAZP,60,20101216,140000,193.46000,194.56000,193.30000,193.84000
GAZP,60,20101216,150000,193.79000,194.75000,193.50000,193.66000
GAZP,60,20101216,160000,193.66000,194.31000,192.90000,193.07000
GAZP,60,20101216,170000,193.07000,193.37000,192.60000,192.95000
GAZP,60,20101216,180000,192.93000,193.75000,192.70000,193.43000
GAZP,60,20101217,100000,194.00000,194.69000,193.43000,194.54000
GAZP,60,20101217,110000,194.54000,195.07000,194.13000,194.60000
GAZP,60,20101217,120000,194.59000,196.50000,194.50000,196.05000
GAZP,60,20101217,130000,196.05000,196.35000,195.62000,195.89000
GAZP,60,20101217,140000,195.88000,196.12000,195.35000,195.98000
GAZP,60,20101217,150000,195.98000,196.00000,194.81000,195.63000
GAZP,60,20101217,160000,195.65000,195.76000,195.17000,195.32000
GAZP,60,20101217,170000,195.35000,195.55000,194.60000,194.97000
GAZP,60,20101217,180000,194.97000,195.25000,194.00000,194.11000
GAZP,60,20101220,100000,193.84000,193.89000,193.29000,193.45000
GAZP,60,20101220,110000,193.45000,194.30000,193.00000,193.40000
GAZP,60,20101220,120000,193.37000,193.58000,192.85000,193.30000
GAZP,60,20101220,130000,193.30000,193.80000,193.05000,193.73000
GAZP,60,20101220,140000,193.73000,194.24000,193.52000,193.85000
GAZP,60,20101220,150000,193.86000,194.55000,193.75000,194.43000
GAZP,60,20101220,160000,194.43000,194.90000,194.34000,194.73000
GAZP,60,20101220,170000,194.74000,194.78000,194.22000,194.36000
GAZP,60,20101220,180000,194.29000,194.40000,193.61000,194.03000
